"current_metabolic_rate-rfile"
"Iteration" "current_metabolic_rate"
("Iteration" "current_metabolic_rate")
1 54.99999999999974
2 54.99999999999974
3 54.99999999999974
4 54.99999999999974
5 54.99999999999974
6 54.99999999999974
7 54.99999999999974
8 54.99999999999974
9 54.99999999999974
10 54.99999999999974
11 54.99999999999974
12 54.99999999999974
13 54.99999999999974
14 54.99999999999974
15 54.99999999999974
16 54.99999999999974
17 54.99999999999974
18 54.99999999999974
19 54.99999999999974
20 54.99999999999974
21 54.99999999999974
22 54.99999999999974
23 54.99999999999974
24 54.99999999999974
25 54.99999999999974
26 54.99999999999974
27 54.99999999999974
28 54.99999999999974
29 54.99999999999974
30 54.99999999999974
31 54.99999999999974
32 54.99999999999974
33 54.99999999999974
34 54.99999999999974
35 54.99999999999974
36 54.99999999999974
37 54.99999999999974
38 54.99999999999974
39 54.99999999999974
40 54.99999999999974
41 54.99999999999974
42 54.99999999999974
43 54.99999999999974
44 54.99999999999974
45 54.99999999999974
46 54.99999999999974
47 54.99999999999974
48 54.99999999999974
49 54.99999999999974
50 54.99999999999974
51 54.99999999999974
52 54.99999999999974
53 54.99999999999974
54 54.99999999999974
55 54.99999999999974
56 54.99999999999974
57 54.99999999999974
58 54.99999999999974
59 54.99999999999974
60 54.99999999999974
