"blood_temp-rfile"
"Iteration" "blood_temp"
("Iteration" "blood_temp")
1 36.99999999999988
2 36.99999999999988
3 36.99999999999988
4 36.99999999999988
5 36.99999999999988
6 36.99999999999988
7 36.99999999999988
8 36.99999999999988
9 36.99999999999988
10 36.99999999999988
11 36.99999999999988
12 36.99999999999988
13 36.99999999999988
14 36.99999999999988
15 36.99999999999988
16 36.99999999999988
17 36.99999999999988
18 36.99999999999988
19 36.99999999999988
20 36.99999999999988
21 36.99999999999988
22 36.99999999999988
23 36.99999999999988
24 36.99999999999988
25 36.99999999999988
26 36.99999999999988
27 36.99999999999988
28 36.99999999999988
29 36.99999999999988
30 36.99999999999988
31 36.99999999999988
32 36.99999999999988
33 36.99999999999988
34 36.99999999999988
35 36.99999999999988
36 36.99999999999988
37 36.99999999999988
38 36.99999999999988
39 36.99999999999988
40 36.99999999999988
41 36.99999999999988
42 36.99999999999988
43 36.99999999999988
44 36.99999999999988
45 36.99999999999988
46 36.99999999999988
47 36.99999999999988
48 36.99999999999988
49 36.99999999999988
50 36.99999999999988
51 36.99999999999988
52 36.99999999999988
53 36.99999999999988
54 36.99999999999988
55 36.99999999999988
56 36.99999999999988
57 36.99999999999988
58 36.99999999999988
59 36.99999999999988
60 36.99999999999988
