"core_temp-rfile"
"Iteration" "core_temp"
("Iteration" "core_temp")
1 116.6329233880198
2 64.58065199041904
3 48.92226760654754
4 43.38599350106016
5 40.96884204974422
6 39.69033460610242
7 38.92232684541742
8 38.42737120222811
9 38.09606647034889
10 37.86918495667804
11 37.71125572769483
12 37.59982280162283
13 37.52022455606088
14 37.46270191838477
15 37.4206662681479
16 37.3896160350909
17 37.36644185032407
18 37.34897351868501
19 37.33568094996829
20 37.3254746196991
21 37.31757113569468
22 37.31140182532607
23 37.30655001447218
24 37.30270761083982
25 37.29964478694032
26 37.29718862695992
27 37.29520795831748
28 37.29360248537095
29 37.2922949400844
30 37.29122536543819
31 37.2903469185386
32 37.28962276514263
33 37.28902376411494
34 37.28852672798879
35 37.28811310684652
36 37.2877679855384
37 37.28747931450426
38 37.2872373159631
39 37.2870340226519
40 37.28686291740343
41 37.28671864992845
42 37.28659681306682
43 37.28649376511497
44 37.28640648805555
45 37.28633247391396
46 37.28626963326133
47 37.28621622124203
48 37.28617077754032
49 37.28613207747048
50 37.28609909199928
51 37.2860709549518
52 37.28604693603521
53 37.2860264185763
54 37.28600888110036
55 37.28599388205131
56 37.28598104708165
57 37.28597005845911
58 37.28596064621737
59 37.28595258074771
60 37.28594566658629
