"wavg_tiss_temp-rfile"
"Iteration" "wavg_tiss_temp"
("Iteration" "wavg_tiss_temp")
1 152.5468665444853
2 99.8469983907117
3 77.14761155896288
4 65.5467975528027
5 58.47553992958154
6 53.65072026317902
7 50.14136281289314
8 47.4942537911419
9 45.45223042913416
10 43.85253895575597
11 42.58474009373782
12 41.57054388075532
13 40.75282880656882
14 40.08905367767716
15 39.54703162692991
16 39.10209419003483
17 38.73512742359691
18 38.43117991179749
19 38.17845786655489
20 37.96758853562118
21 37.79107313574634
22 37.64287579964665
23 37.51811148841184
24 37.41280680176538
25 37.32371508402242
26 37.24817238181789
27 37.18398442479653
28 37.12933736678967
29 37.08272686838788
30 37.04290144039672
31 37.00881694961663
32 36.97959991556857
33 36.95451777010452
34 36.93295466115083
35 36.91439169258727
36 36.89839072990235
37 36.88458108422683
38 36.87264852910312
39 36.86232621481555
40 36.85338713169045
41 36.84563784196622
42 36.83891325381108
43 36.83307225399052
44 36.8279940499548
45 36.82357509959248
46 36.8197265290117
47 36.81637195656398
48 36.81344565579966
49 36.81089100180966
50 36.80865915499884
51 36.80670794418277
52 36.80500091733571
53 36.80350653360524
54 36.80219747456609
55 36.8010500562982
56 36.8000437268459
57 36.79916063610019
58 36.79838526720147
59 36.79770412027953
60 36.79710544077585
